Autoras,Año de nacimiento,Lugar de nacimiento,Premio recibido,Primera publicación,Número de publicaciones,Editorial
Robles Payán Patricia,,,,,,
Rocha Glafira,,,,,,
Rocha C. María Elena,,,,,,
Rodríguez Adriana Azucena,,,,,,
Rodríguez Aniela,,,,,,
Rodríguez Arango Alejandra,,,,,,
Rodríguez Guzmán Gayne,,,,,,
Rodríguez S. Patricia,,,,,,
Rodríguez Sifuentes Emma,,,,,,
Roffiel Rosamaría,,,,,,
Rogelio Ruíz Janeth Margarita,,,,,,
Rojas Nektli,,,,,,
Rojas Ávila Beatriz,,,,,,
Rojas Caballero Constanza,,,,,,
Rojas García Cecilia,,,,,,
Rojas Molina Josefa Isabel,,,,,,
Rojo Aleyda,,,,,,
Romano Hurtado Berenice,,,,,,
Romero Mara,,,,,,
Romero Chumacero Leticia,,,,,,
Romo García Ana Leticia,,,,,,
Rosado Nidia Esther,,,,,,
Rosana Curiel Defossé,,,,,,
Rosario Alpuche Martha Alejandra,,,,,,
Rosenzweig Carmen,,,,,,
Ross María Luisa,,,,,,
Rousseau Silvia,,,,,,
Rubioceja Yolanda,,,,,,
Rueda Emma,,,,,,
Rueda López Yeni,,,,,,
Ruiz Figueroa Isabel,,,,,,
Ruiz Rabasa Ximena,,,,,,
Ruiz Valdez Michelle,,,,,,
Ruvinskis Miriam,,,,,,
Saavedra Villanueva Ana,,,,,,
Salas Guadalupe,,,,,,
Salinas Gilda,,,,,,
Salum Rose Mary,,,,,,
Samaniego Muñoz Aída,,,,,,
Sánchez Escuer Mónica,,,,,,
Sandoval Alma Karla,,,,,,
Sanmiguel Rosario,,,,,,
Santa Cruz Amelia,,,,,,
Santa Olaya Angélica,,,,,,
Santiago Liliana,,,,,,
Santos María Cristina,,,,,,
Santoyo Pilar Vasthy,,,,,,
Sedano Teresa,,,,,,
Sedeño Livia,,,,,,
Seligson Esther,,,,,,
Sepúlveda Irma Sabina,,,,,,
Serrano Zaragoza Alejandra,,,,,,
Serrato Helena,,,,,,
Silva-Rosas Sonia,,,,,,
Solares Pineda Diana Violeta,,,,,,
Solea Ivana,,,,,,
Solís Bernarda,,,,,,
Solís Téllez Judith,,,,,,
Solórzano Elsa D.,,,,,,
Sosa Karla,,,,,,
Soto Cynthia,,,,,,
Soto Alanís Socorro,,,,,,
Soto Icaza Mónica,,,,,,
Suárez Amelia,,,,,,
Suckaer Ingrid,,,,,,
Swain Regina,,,,,,
Tallabas Moreno Blanca Estela,,,,,,
Tartakovski Malke,,,,,,
Tavarez Edith,,,,,,
Tejeda Daniela,,,,,,
Tejeda de Tamez Altaír,,,,,,
Téllez Vanessa,,,,,,
Téllez Artemisa,,,,,,
Téllez Trejo Araceli,,,,,,
Tena Paola,,,,,,
Terán Ana,,,,,,
Teroba Olivia,,,,,,
Terrés María Elodia,,,,,,
Tinoco Paola,,,,,,
Toranzo de Villoro María Luisa,,,,,,
Torres López Gabriela,,,,,,
Torres Olivares Gabriela,,,,,,
Torres Torres Martha Estela,,,,,,
Trejo Blanca Lydia,,,,,,
Trejo Sirvent Marisa,,,,,,
Trejo Sirvent Socorro,,,,,,
Trueba Alicia,,,,,,
Ulloa Alejandra,,,,,,
Urbano Victoria,,,,,,
Urueta Margarita,,,,,,
Valencia Tita,,,,,,
Valenzuela Torres Agustina,,,,,,
Varela Olga,,,,,,
Varela Montserrat,,,,,,
Varela Mercedes,,,,,,
Vargas Iliana,,,,,,
Vasconcelos de Ahumada María del Carmen,,,,,,
Vasconcelos de Berges Tina,,,,,,
Vázquez de la Torre Ana,,,,,,
Vega Mariana,,,,,,
Vega Cárdenas Sandra,,,,,,
Velasco María de Jesús,,,,,,
Velasco Vargas Magali,,,,,,
Velázquez Ayari,,,,,,
